id,Time (Sec),Temperature (deg),K PID,Heater State,SETTINGS:
840,839.0,31.91,15,10,
841,840.0,31.91,15,10,
842,841.0,31.91,15,10,
843,842.0,32.03,15,10,
844,843.0,31.91,15,10,
845,844.0,32.03,15,10,
846,845.0,31.91,15,10,
847,846.0,31.91,15,10,
848,847.0,31.91,15,10,
849,848.0,31.91,15,10,
850,849.0,31.91,15,10,
851,850.0,31.91,15,10,
852,851.0,31.91,15,10,
853,852.0,31.91,15,10,
854,853.0,31.91,15,10,
855,854.0,31.91,15,10,
856,855.0,31.91,15,10,
857,856.0,31.91,15,10,
858,857.0,31.91,15,10,
859,858.0,31.91,15,10,
860,859.0,31.91,15,10,
861,860.0,31.80,15,10,
862,861.0,31.80,15,10,
863,862.0,31.80,15,10,
864,863.0,31.80,15,10,
865,864.0,31.80,15,10,
866,865.0,31.80,15,10,
867,866.0,31.80,15,10,
868,867.0,31.80,15,10,
869,868.0,31.91,15,10,
870,869.0,31.80,15,10,
871,870.0,31.91,15,10,
872,871.0,31.91,15,10,
873,872.0,31.91,15,10,
874,873.0,31.80,15,10,
875,874.0,31.91,15,10,
876,875.0,31.80,15,10,
877,876.0,31.91,15,10,
878,877.0,31.80,15,10,
879,878.0,31.91,15,10,
880,879.0,31.91,15,10,
881,880.0,31.91,15,10,
882,881.0,31.91,15,10,
883,882.0,31.91,15,10,
884,883.0,31.91,15,10,
885,884.0,31.91,15,10,
886,885.0,31.91,15,10,
887,886.0,31.80,15,10,
888,887.0,31.91,15,10,
889,888.0,31.91,15,10,
890,889.0,31.80,15,10,
891,890.0,31.80,15,10,
892,891.0,31.80,15,10,
893,892.0,31.80,15,10,
894,893.0,31.80,15,10,
895,894.0,31.91,15,10,
896,895.0,31.91,15,10,
897,896.0,31.91,15,10,
898,897.0,32.38,15,10,
899,898.0,33.22,15,10,
900,899.0,34.08,12,10,
901,900.0,35.08,8,0,
902,901.0,35.85,8,0,
903,902.0,36.50,4,0,
904,903.0,37.30,0,0,
905,904.0,37.98,-1,0,
906,905.0,38.53,-6,0,
907,906.0,39.09,-12,0,
908,907.0,39.66,-14,0,
909,908.0,40.09,-15,0,
910,909.0,40.53,-15,0,
911,910.0,40.98,-15,0,
912,911.0,41.43,-15,0,
913,912.0,41.73,-15,0,
914,913.0,42.19,-15,0,
